year,classic_net_profit_margin,classic_asset_turnover,classic_equity_multiplier,classic_roe_3step,classic_tax_burden,classic_interest_burden,classic_ebit_margin,classic_leverage,classic_roe_5step,reform_rnoa,reform_flev,reform_nbc,reform_spread,reform_roce,reform_reported_roe,data_as_of
1985,0.09557254761496893,1.2602892975604012,1.5205168760631473,0.18314482676295923,0.6824955516014235,1.0704761904761906,0.13081463255104106,1.5205168760631473,0.18314482676295923,,,,,,,2026-08-09T09:44Z
1986,0.047051935626668956,1.191638164275869,2.08083705120034,0.11667020749238724,0.8431422722620265,0.3973159821065474,0.14045609675991377,2.08083705120034,0.11667020749238724,,,,,,,2026-08-09T09:44Z
1987,0.10396904643035447,1.2239535594256035,1.878335724533716,0.23902439024390246,0.6982397317686505,0.9867659222497932,0.15089865202196706,1.878335724533716,0.23902439024390246,,,,,,,2026-08-09T09:44Z
1988,0.10822222222222222,1.2642225031605563,2.032258064516129,0.278047387953183,0.6977077363896849,0.9943019943019943,0.156,2.032258064516129,0.278047387953183,,,,,,,2026-08-09T09:44Z
1989,0.11089474223634314,1.232100012627857,1.909112825458052,0.2608486017357763,0.714663143989432,0.9114990969295605,0.17023675310033823,1.909112825458052,0.2608486017357763,,,,,,,2026-08-09T09:44Z
1990,0.10176282051282051,1.181569535030507,1.94,0.23326530612244897,0.7042513863216266,0.8147590361445783,0.17735042735042736,1.94,0.233265306122449,,,,,,,2026-08-09T09:44Z
1991,0.11737768136900457,1.183962712831732,1.8686455741201564,0.2596871667259154,0.7168792934249264,0.9417744916820703,0.17385715433437776,1.8686455741201564,0.2596871667259154,,,,,,,2026-08-09T09:44Z
1992,0.07489275067258053,1.1572702793672165,2.2982015084122995,0.19918777799265133,0.46669687358405076,0.9692577953447519,0.16556387697229696,2.2982015084122995,0.1991877779926514,,,,,,,2026-08-09T09:44Z
1993,0.12639694440514923,1.15487665414148,2.1986350574712645,0.320941091954023,0.766295025728988,0.9741019214703425,0.16933088131277407,2.1986350574712645,0.320941091954023,,,,,,,2026-08-09T09:44Z
1994,0.1274945976865387,1.0042124074546848,2.199943836001123,0.2816624543667509,0.7482282730324505,0.9551122194513716,0.17840345748061523,2.199943836001123,0.2816624543667509,,,,,,,2026-08-09T09:44Z
1995,0.12753423203481584,1.0542158563195883,1.976008844665561,0.2656716417910448,0.724449804039795,0.9447450868698376,0.18633902982698228,1.976008844665561,0.26567164179104474,,,,,,,2026-08-09T09:44Z
1996,0.13353376503237743,1.0804597701149425,1.8466223698781838,0.26642672572905135,0.7158442846516241,0.9372530792470369,0.19902867715078632,1.8466223698781838,0.26642672572905135,,,,,,,2026-08-09T09:44Z
1997,0.14596314463741217,1.0548175080408335,1.735820050165871,0.2672546322518003,0.7218094405594405,0.9900475984422328,0.2042511821114499,1.735820050165871,0.2672546322518003,,,,,,,2026-08-09T09:44Z
