field,value,data_as_of
ticker,JNJ,2026-08-09T04:46Z
company,Johnson & Johnson,2026-08-09T04:46Z
source,eodhd:Highlights+AnalystRatings,2026-08-09T04:46Z
eodhd_updated_at,2026-08-08,2026-08-09T04:46Z
rating,3.75,2026-08-09T04:46Z
target_price,272.5,2026-08-09T04:46Z
wall_street_target_price,272.5,2026-08-09T04:46Z
strong_buy,7,2026-08-09T04:46Z
buy,4,2026-08-09T04:46Z
hold,13,2026-08-09T04:46Z
sell,0,2026-08-09T04:46Z
strong_sell,0,2026-08-09T04:46Z
analyst_count,24,2026-08-09T04:46Z
eps_est_current_year,11.0525,2026-08-09T04:46Z
eps_est_next_year,12.3075,2026-08-09T04:46Z
eps_est_current_quarter,2.8545,2026-08-09T04:46Z
eps_est_next_quarter,3.0288,2026-08-09T04:46Z
most_recent_quarter,2026-06-30,2026-08-09T04:46Z
eps_ttm,8.68,2026-08-09T04:46Z
pe_ratio,29.8664,2026-08-09T04:46Z
consensus_revenue_current_year,,2026-08-09T04:46Z
consensus_revenue_next_year,,2026-08-09T04:46Z
