field,value,data_as_of
ticker,JNJ,2026-08-06T08:04Z
company,Johnson & Johnson,2026-08-06T08:04Z
source,eodhd:Highlights+AnalystRatings,2026-08-06T08:04Z
eodhd_updated_at,2026-08-06,2026-08-06T08:04Z
rating,3.75,2026-08-06T08:04Z
target_price,271.7273,2026-08-06T08:04Z
wall_street_target_price,271.7273,2026-08-06T08:04Z
strong_buy,7,2026-08-06T08:04Z
buy,4,2026-08-06T08:04Z
hold,13,2026-08-06T08:04Z
sell,0,2026-08-06T08:04Z
strong_sell,0,2026-08-06T08:04Z
analyst_count,24,2026-08-06T08:04Z
eps_est_current_year,11.6186,2026-08-06T08:04Z
eps_est_next_year,12.7837,2026-08-06T08:04Z
eps_est_current_quarter,2.8545,2026-08-06T08:04Z
eps_est_next_quarter,3.0288,2026-08-06T08:04Z
most_recent_quarter,2026-06-30,2026-08-06T08:04Z
eps_ttm,8.71,2026-08-06T08:04Z
pe_ratio,29.5741,2026-08-06T08:04Z
consensus_revenue_current_year,,2026-08-06T08:04Z
consensus_revenue_next_year,,2026-08-06T08:04Z
