field,value,data_as_of
ticker,PG,2026-08-07T23:55Z
company,Procter & Gamble Company,2026-08-07T23:55Z
source,eodhd:Highlights+AnalystRatings,2026-08-07T23:55Z
eodhd_updated_at,2026-08-06,2026-08-07T23:55Z
rating,3.9583,2026-08-07T23:55Z
target_price,160.6957,2026-08-07T23:55Z
wall_street_target_price,160.6957,2026-08-07T23:55Z
strong_buy,9,2026-08-07T23:55Z
buy,5,2026-08-07T23:55Z
hold,10,2026-08-07T23:55Z
sell,0,2026-08-07T23:55Z
strong_sell,0,2026-08-07T23:55Z
analyst_count,24,2026-08-07T23:55Z
eps_est_current_year,6.8822,2026-08-07T23:55Z
eps_est_next_year,7.0531,2026-08-07T23:55Z
eps_est_current_quarter,1.407,2026-08-07T23:55Z
eps_est_next_quarter,1.9228,2026-08-07T23:55Z
most_recent_quarter,2026-06-30,2026-08-07T23:55Z
eps_ttm,6.63,2026-08-07T23:55Z
pe_ratio,22.1674,2026-08-07T23:55Z
consensus_revenue_current_year,,2026-08-07T23:55Z
consensus_revenue_next_year,,2026-08-07T23:55Z
