year,classic_net_profit_margin,classic_asset_turnover,classic_equity_multiplier,classic_roe_3step,classic_tax_burden,classic_interest_burden,classic_ebit_margin,classic_leverage,classic_roe_5step,reform_rnoa,reform_flev,reform_nbc,reform_spread,reform_roce,reform_reported_roe,data_as_of
1985,0.03190324766720534,2.0490279854731894,1.7006357856494096,0.1111716621253406,0.51,0.8146639511201629,0.07678673825783246,1.7006357856494096,0.11117166212534058,,,,,,,2026-08-09T09:34Z
1986,0.08097165991902834,1.63942763554866,1.6713730010085,0.2218700475435816,0.4970948999354422,1.1327239488117002,0.14380356485619644,1.6713730010085,0.2218700475435816,,,,,,,2026-08-09T09:34Z
1987,0.08173311788358198,1.8005954394749304,1.7667662881052004,0.26001195457262405,0.5299707602339182,1.1047106325706595,0.13960392318965842,1.7667662881052004,0.2600119545726241,,,,,,,2026-08-09T09:34Z
1988,0.09831998821044358,1.9554296143316845,2.0750448475184373,0.3989435917879211,0.6100274306613837,1.0578752216669356,0.15235545512600088,2.0750448475184373,0.39894359178792116,,,,,,,2026-08-09T09:34Z
1989,0.08591975775927328,1.9257261562010277,1.8468735276300734,0.3055798613448207,0.609969098481795,1.173419517578433,0.12004163512490537,1.8468735276300734,0.3055798613448207,,,,,,,2026-08-09T09:34Z
1990,0.08543825561312608,1.867930234902712,2.0567459220348354,0.3282416367155101,0.610019267822736,1.0933988764044944,0.1280944156591825,2.0567459220348354,0.3282416367155101,,,,,,,2026-08-09T09:34Z
1991,0.049106010651787976,1.8058163498969546,1.9774721231674872,0.17535518197769853,0.619971983189914,1.117147328414934,0.07090096373319807,1.9774721231674872,0.17535518197769853,,,,,,,2026-08-09T09:34Z
1992,0.07484228556043272,1.6778042948126053,1.9309225564597237,0.2424673127914419,0.6199567504383402,1.0618096065533076,0.11369438013632037,1.9309225564597237,0.2424673127914419,,,,,,,2026-08-09T09:34Z
1993,0.010906355772846935,1.542522334377538,2.5520134228187916,0.04293328069482826,0.6227630637079457,1.2699999999999998,0.013789645230036354,2.5520134228187916,0.04293328069482826,,,,,,,2026-08-09T09:34Z
1994,0.03373691388641848,1.7328282365400869,2.224958576361106,0.1300716946789348,0.6196455627381138,0.9578994933693809,0.05683842891327524,2.224958576361106,0.13007169467893478,,,,,,,2026-08-09T09:34Z
1995,0.03832941601880311,1.7753169635692505,2.1478800413650467,0.14615649775939332,0.629080118694362,0.9853801169590644,0.061833303200144636,2.1478800413650467,0.1461564977593933,,,,,,,2026-08-09T09:34Z
1996,-0.08298586392759076,1.8331469052945564,2.6064139941690962,-0.3965014577259475,0.6301158301158302,0.9363702096890817,-0.14064883555374758,2.6064139941690962,-0.3965014577259476,,,,,,,2026-08-09T09:34Z
1997,-0.14757802570258438,1.6728088825891803,3.5275,-0.8708333333333332,1.0,0.9766355140186916,-0.15110860048015817,3.5275,-0.8708333333333332,,,,,,,2026-08-09T09:34Z
1998,0.05201144588453122,1.3851713686173934,2.6120584652862364,0.18818514007308165,0.939209726443769,1.260536398467433,0.04393199798013803,2.6120584652862364,0.18818514007308165,,,,,,,2026-08-09T09:34Z
1999,0.09797848059993479,1.1885293547762061,1.6626932989690721,0.19362113402061853,0.8890532544378699,1.883008356545961,0.05852624714704923,1.6626932989690721,0.19362113402061853,,,,,,,2026-08-09T09:34Z
2000,0.09845922585494175,1.1734528884315742,1.6564402240077916,0.19138056975894813,0.7197802197802198,2.0919540229885056,0.06538895152198422,1.6564402240077916,0.1913805697589481,,,,,,,2026-08-09T09:34Z
2001,-0.004661570016781652,0.8907158279355589,1.535969387755102,-0.0063775510204081625,0.4807692307692308,0.1511627906976744,-0.06414320343091554,1.535969387755102,-0.006377551020408164,,,,,,,2026-08-09T09:34Z
2002,0.011320097526994078,0.9117180057161004,1.537973137973138,0.015873015873015876,0.7471264367816092,5.117647058823529,0.0029606408916753742,1.537973137973138,0.015873015873015872,,,,,,,2026-08-09T09:34Z
2003,0.010955372966006122,0.9107850330154071,1.6137816717973006,0.01610229694529955,0.7391304347826086,-92.0,-0.00016110842597067828,1.6137816717973006,0.01610229694529955,,,,,,,2026-08-09T09:34Z
2004,0.03333735958449088,1.0284472049689442,1.5858944050433412,0.054373522458628844,0.745945945945946,1.182108626198083,0.03780649836936828,1.5858944050433412,0.054373522458628844,,,,,,,2026-08-09T09:34Z
2005,0.09582944512238892,1.2060427668600122,1.547147066702384,0.17881060809000804,0.7383849557522124,1.1004260499087035,0.11793841073864045,1.547147066702384,0.17881060809000804,,,,,,,2026-08-09T09:34Z
