field,value
ticker,WMT
run_status,OK
anchor_year,2026
tie_check,PASS
max_identity_tie,2.2409949451685e-09
anchor_earnings_check,PASS
anchor_oi_at0,21993.0921603533
anchor_representativeness,PASS
anchor_margin,0.041820733829433104
anchor_normal_margin,0.04126156263514897
anchor_margin_vs_normal,1.0135518666422925
inflation_verdict,NET LOSER from inflation
rd_capitalization_wired,False
cfg_N,10
cfg_N_reviewed,True
payout_seed,0.363121
ppe_life_years,19.68
inputs_on_template_default,0
config_hash,149c0056471fed53
vintage,2026-08-09T04:46Z
