Fiscal year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
CPI deflator,1.55651802343674,1.56207553941744,1.53686667645009,1.48983946758899,1.45963309145709,1.43856162296046,1.4155979656664,1.41391967664767,1.39630510776769,1.36717934073107,1.33458246882803,1.31083052683869,1.29485609189718,1.23675314610473,1.14511284618407,1.0998385307612,1.06832882249617,1.04093892397101
BEA deflator,1.19073558487673,1.19852164730729,1.22074564351828,1.20749621506608,1.19075960859477,1.18957159701297,1.17840848965249,1.17634162140615,1.18776413765345,1.1804,1.17538112260647,1.16403368636964,1.1575953711876,1.14438616731461,1.07973619457937,1.04651884425452,1.03250411112277,1.01724420238023
REPORTED (nominal $mm),,,,,,,,,,,,,,,,,,
Total assets,830.906,745.87,728.545,798.622,780.576,823.761,892.937,936.031,994.095,1101.062,1240.871,1483.266,1739.67,3230.131,3565.437,3428.068,3368.184,3626.126
Total liabilities,589.172,493.683,443.363,518.876,498.953,537.579,648.585,680.288,788.885,877.916,1017.281,1073.086,1100.2,2158.738,2330.243,2115.281,2094.719,2440.897
Cash,15.762,15.843,9.721,17.487,12.463,8.006,14.83,13.237,21.956,29.94,16.358,28.583,34.128,24.321,45.591,66.54,77.862,104.963
Short-term investments,0,0,0,0,0,0,0,0,1.521,1.585,2.378,0.655,0.223,0,0,0,0,0
Total debt,327.903,248.936,198.834,247.322,230.905,246.427,320.838,328.045,438.042,519.65,666.761,689.742,623.839,1427.779,1660.825,1364.484,1271.923,1535.031
Pension (NC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minority interest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reported net PP&E,33.048,31.432,30.685,41.394,46.566,52.328,56.475,69.854,83.29,100.939,106.964,288.935,314.116,420.67,463.317,529.617,566.177,594.463
Reported CSE (common),241.734,252.187,285.182,279.746,281.623,286.182,244.352,255.743,205.21,223.146,223.59,410.18,639.47,1071.393,1235.194,1312.787,1273.465,1185.229
Shares (mm),48.488,49.049,50.161,48.987,48.058,47.53,45.441,44.254,42.984,42.449,41.693,40.865,40.865,40.48,39.806,38.997,38.228,37.288
Operating income,115.476,88.44,101.245,125.067,144.869,165.486,188.87,216.222,255.859,284.371,313.889,341.246,464.027,832.784,1025.783,747.117,617.204,580.204
