field,value,data_as_of
ticker,PEP,2026-08-20T07:49Z
company,PepsiCo Inc,2026-08-20T07:49Z
source,eodhd:Highlights+AnalystRatings,2026-08-20T07:49Z
eodhd_updated_at,2026-08-19,2026-08-20T07:49Z
rating,3.3478,2026-08-20T07:49Z
target_price,155,2026-08-20T07:49Z
wall_street_target_price,155,2026-08-20T07:49Z
strong_buy,4,2026-08-20T07:49Z
buy,2,2026-08-20T07:49Z
hold,16,2026-08-20T07:49Z
sell,0,2026-08-20T07:49Z
strong_sell,1,2026-08-20T07:49Z
analyst_count,23,2026-08-20T07:49Z
eps_est_current_year,8.5598,2026-08-20T07:49Z
eps_est_next_year,8.9784,2026-08-20T07:49Z
eps_est_current_quarter,2.2101,2026-08-20T07:49Z
eps_est_next_quarter,2.4316,2026-08-20T07:49Z
most_recent_quarter,2026-06-30,2026-08-20T07:49Z
eps_ttm,7.63,2026-08-20T07:49Z
pe_ratio,18.3657,2026-08-20T07:49Z
consensus_revenue_current_year,,2026-08-20T07:49Z
consensus_revenue_next_year,,2026-08-20T07:49Z
