field,value,data_as_of
ticker,POOL,2026-08-09T09:44Z
company,Pool Corporation,2026-08-09T09:44Z
source,eodhd:Highlights+AnalystRatings,2026-08-09T09:44Z
eodhd_updated_at,2026-08-08,2026-08-09T09:44Z
rating,3.6923,2026-08-09T09:44Z
target_price,220.3637,2026-08-09T09:44Z
wall_street_target_price,220.3637,2026-08-09T09:44Z
strong_buy,5,2026-08-09T09:44Z
buy,0,2026-08-09T09:44Z
hold,7,2026-08-09T09:44Z
sell,1,2026-08-09T09:44Z
strong_sell,0,2026-08-09T09:44Z
analyst_count,13,2026-08-09T09:44Z
eps_est_current_year,10.9983,2026-08-09T09:44Z
eps_est_next_year,11.8191,2026-08-09T09:44Z
eps_est_current_quarter,5.3372,2026-08-09T09:44Z
eps_est_next_quarter,3.4739,2026-08-09T09:44Z
most_recent_quarter,2026-06-30,2026-08-09T09:44Z
eps_ttm,10.89,2026-08-09T09:44Z
pe_ratio,18.9449,2026-08-09T09:44Z
consensus_revenue_current_year,,2026-08-09T09:44Z
consensus_revenue_next_year,,2026-08-09T09:44Z
