Fiscal year,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
CPI deflator  [MULTIPLIER: nominal x this = base-year 2026$. Do NOT divide.],1.56207553941744,1.53686667645009,1.48983946758899,1.45963309145709,1.43856162296046,1.4155979656664,1.41391967664767,1.39630510776769,1.36717934073107,1.33458246882803,1.31083052683869,1.29485609189718,1.23675314610473,1.14511284618407,1.0998385307612,1.06832882249617,1.04093892397101,1.01330060950762
BEA deflator  [MULTIPLIER: nominal x this = base-year 2026$. Do NOT divide.],1.19852164730729,1.22074564351828,1.20749621506608,1.19075960859477,1.18957159701297,1.17840848965249,1.17634162140615,1.18776413765345,1.1804,1.17538112260647,1.16403368636964,1.1575953711876,1.14438616731461,1.07973619457937,1.04651884425452,1.03250411112277,1.01724420238023,0.990235019329255
REPORTED (nominal $mm),,,,,,,,,,,,,,,,,,
Total assets,13249.6,14419.3,14998,15465,17584,18594,21600,21396,23259,22536,23717,31342,37740,40321,37531,38110,36579,38410
Total liabilities,4556.8,4665.6,5155,5084,6428,7770,8893,9138,10852,12724,14677,23287,24973,25040,23527,23680,23366,23545
Cash,2291.1,3079.1,1955,2317,3337,2220,3852,3138,3808,4249,4466,8348,9889,8574,7441,9860,7464,7563
Short-term investments,1164,2066.8,2583,1440,2628,2922,2072,2319,2371,996,197,439,3587,4423,3234,1722,1687,1464
Total debt,812.1,591.8,663,385,1388,1373,1260,2055,3802,3810,3479,13015,9882,12627,12144,11952,11018,11033
Pension (NC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minority interest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reported net PP&E,1957.7,1931.9,2115,2279,2452,2834,3011,3520,3989,4454,4744,4866,4904,4791,8004,7718,7540,7634
Reported CSE (common),8692.8,9753.7,9843,10381,11156,10824,12707,12258,12407,9812,9040,8055,12767,15281,14004,14430,13213,14865
Shares (mm),1962.8,1975.6,1942.8,1879.2,1832.8,1811.6,1768.8,1742.5,1692,1659.1,1618.4,1591.6,1609.4,1610.8,1569.8,1529.7,1487.6,1482.9
Operating income,2454.8,2474,2841,3069,3238,3680,4175,4502,4749,4445,4772,3115,6937,6675,5915,6311,3702,3800
D&A (reconciled),383.3,395.5,358,405,513,632,649,662,716,774,720,1119,797,840,859,844,808,797
Net income (common),1486.672,1906.7,2133,2223,2485,2693,3273,3760,4240,1933,4029,2539,5727,6046,5070,5700,3219,3108
Interest expense,40.2,43.8,40,37,6,43,39,19,59,54,124,144,289,292,283,261,289,50
