year,real_revenue,real_gross_profit,real_sga,real_gross_ppe_series,real_net_ppe_series
2008,49721.4117406632,32017.5757420937,18326.4432079442,22985.5161968504,12786.6952905842
2009,48408.7209665466,31088.427385486,17742.0539767033,24375.8121705537,13887.937768725
2010,53973.2208102506,34465.7720860696,584.009337051033,25709.2093014933,15238.2898437342
2011,69340.1085005268,42202.6825983933,527.403171526503,28225.1411367281,17320.2169947127
2012,70087.2021524953,42276.8128609633,378.044970687387,30435.6935158683,19044.9207774743
2013,67402.3662821894,40902.6226256348,326.553488412025,32307.0190726384,20367.6459172511
2014,65114.6752247229,39791.0432169167,19420.5884909773,33906.9545148587,21387.1005431755
2015,62628.1581574317,37910.0143702772,17604.7138939401,35538.6470735858,22487.3915052542
2016,58453.5207264788,35463.3571270838,15913.6893132284,37125.2062594399,23166.9934697676
2017,49508.2982865535,30749.2305523825,12226.684844158,37725.8052298324,23055.9539544826
2018,45776.1786808014,28337.1895606255,9359.42685389097,38605.5087477665,22736.2540745873
2019,48849.4104131708,29686.3789413159,10493.1983673437,40006.5240178703,22939.1638601276
2020,42748.3790178934,25354.5771354386,8498.14053112117,40267.7953832377,22037.0581038522
2021,47806.6928626785,28813.8747979481,9727.06349411374,40773.2592584015,21320.1946531807
2022,49244.4328372999,28632.4016059866,9922.402812185,41400.637546893,20609.0049173699
2023,50322.0121364481,29953.0025467506,9874.35032917408,42207.2276398838,20203.346766634
2024,50276.6227154921,30700.5653720723,9931.18473392436,42609.4809494246,19966.5110574321
2025,49903.6529540944,30753.4995697996,9494.40392553962,42765.1950370138,19733.7076275376
